BX = 000 Event : 1
0x13 0111100|1000111 0x1E47
0x14 0111101|0010010 0x1E92
0x15 0111101|1000110 0x1EC6
0x16 0111101|1000111 0x1EC7
0x17 1000010|0110111 0x2137
0x18 1000010|0111011 0x213B
BX = 110 Event : 63
0x00 0011001|0101010 0x0CAA
0x01 0011100|0111001 0x0E39
0x02 0101001|0101010 0x14AA
0x03 1001010|0011010 0x251A
0x04 1001100|0011010 0x261A
0x05 1010101|1001101 0x2ACD
BX = 111 Event : 64
0x00 0100101|0011101 0x129D
0x01 0111101|0101110 0x1EAE
0x02 0111110|0101110 0x1F2E
0x03 1000000|0101110 0x202E
0x04 1000010|0001011 0x210B
0x05 1000010|0110010 0x2132
BX = 000 Event : 65
0x00 0010000|0011100 0x081C
BX = 001 Event : 66
0x00 0000100|1001001 0x0249
0x01 0101111|1001001 0x17C9
BX = 010 Event : 67
0x00 1000111|0000100 0x2384
0x01 1000111|0000101 0x2385
0x02 1001010|0000100 0x2504
0x03 1001010|0000101 0x2505
0x04 1010000|0000100 0x2804
0x05 1010000|0000101 0x2805
0x06 1010101|0100010 0x2AA2
0x07 1010101|0100011 0x2AA3
BX = 011 Event : 68
0x00 0001010|0000100 0x0504
0x01 0001010|0000101 0x0505
0x02 0100010|0010001 0x1111
0x03 0100010|0010010 0x1112
0x04 0101010|0101100 0x152C
0x05 0101011|0101100 0x15AC
0x06 0101101|0010001 0x1691
0x07 0101101|0010010 0x1692
BX = 100 Event : 69
0x00 0001000|0011110 0x041E
0x01 0001000|0100000 0x0420
0x02 0001001|0011110 0x049E
0x03 0001001|0100000 0x04A0
0x04 0100100|0110111 0x1237
0x05 0100100|0111010 0x123A
0x06 0101010|0001100 0x150C
BX = 101 Event : 70
0x00 0100101|0101111 0x12AF
0x01 0100110|0101111 0x132F
0x02 0100110|0000000 0x1300
BX = 110 Event : 71
0x00 0000110|0001001 0x0309
0x01 0001000|0001001 0x0409
0x02 0001101|0100000 0x06A0
0x03 0010010|0110010 0x0932
0x04 0110100|0000001 0x1A01
0x05 0110100|0111110 0x1A3E
0x06 0110100|0111111 0x1A3F
0x07 0111001|0001001 0x1C89
0x08 0111001|1000001 0x1CC1
BX = 111 Event : 72
0x00 0110000|1001011 0x184B
0x01 0110000|0000100 0x1804
0x02 0110010|0000100 0x1904
0x03 0110010|1010000 0x1950
BX = 000 Event : 73
0x00 0000000|1001100 0x004C
0x01 0100100|1001100 0x124C
0x02 0100101|1001100 0x12CC
0x03 0100110|1001100 0x134C
0x04 0101000|0000110 0x1406
0x05 0101110|0101101 0x172D
0x06 0101111|0101101 0x17AD
0x07 0110000|0101101 0x182D
0x08 0110010|0101101 0x192D
0x09 0111110|1001100 0x1F4C
0x0a 0111111|1001100 0x1FCC
BX = 001 Event : 74
0x00 0111111|1000100 0x1FC4
BX = 010 Event : 75
0x00 0010000|0011101 0x081D
0x01 0111111|0111100 0x1FBC
BX = 011 Event : 76
0x00 0000110|0001110 0x030E
BX = 100 Event : 77
0x00 0100100|0011110 0x121E
0x01 0101000|0101001 0x1429
0x02 0101000|0101111 0x142F
BX = 101 Event : 78
BX = 110 Event : 79
0x00 0111000|0001111 0x1C0F
