BX = 000 Event : 1
0x02 0000111|0000111 0x0387
0x03 0000111|0001101 0x038D
0x04 0010000|0011101 0x081D
0x05 0010000|0011110 0x081E
0x06 0010000|0011111 0x081F
0x07 0100010|0111111 0x113F
0x08 0100101|0111111 0x12BF
BX = 011 Event : 76
0x00 0000011|0000000 0x0180
0x01 0010101|0010100 0x0A94
BX = 100 Event : 77
0x00 0000000|0000001 0x0001
0x01 0000001|0000001 0x0081
0x02 0001000|0001110 0x040E
0x03 0001000|0010000 0x0410
0x04 0001001|0001110 0x048E
0x05 0001001|0010000 0x0490
0x06 0001011|0001110 0x058E
0x07 0001011|0010000 0x0590
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0000001|0000001 0x0081
0x01 0000010|0000110 0x0106
0x02 0000011|0000110 0x0186
0x03 0000100|0000110 0x0206
0x04 0000110|0000110 0x0306
0x05 0010000|0010111 0x0817
0x06 0010000|0011001 0x0819
BX = 000 Event : 81
0x00 0000011|0000001 0x0181
0x01 0010011|0000110 0x0986
BX = 001 Event : 82
0x00 0101100|0110111 0x1637
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0001101|0001011 0x068B
0x01 0011111|0100100 0x0FA4
BX = 100 Event : 85
BX = 101 Event : 86
0x00 0100001|0010010 0x1092
0x01 0100100|0011011 0x121B
BX = 110 Event : 87
0x00 0001011|0000100 0x0584
0x01 0010010|0010001 0x0911
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0000011|0000000 0x0180
0x01 0000011|0000001 0x0181
0x02 0000011|0000100 0x0184
0x03 0000100|0001000 0x0208
BX = 001 Event : 90
0x00 0000000|0000001 0x0001
0x01 0001011|0010000 0x0590
0x02 0101001|0000001 0x1481
BX = 010 Event : 91
0x00 0000000|0000001 0x0001
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0000111|0000101 0x0385
0x01 0000111|0000110 0x0386
0x02 0110010|0101111 0x192F
BX = 101 Event : 94
0x00 0000101|0001001 0x0289
0x01 0000101|0001010 0x028A
0x02 0000110|0000110 0x0306
0x03 0000110|0001001 0x0309
0x04 0000110|0001010 0x030A
0x05 0000110|0001011 0x030B
0x06 0000110|0001100 0x030C
0x07 0001101|0011000 0x0698
0x08 0001101|0011001 0x0699
0x09 0001110|0011000 0x0718
0x0a 0001110|0011001 0x0719
0x0b 0001111|0011001 0x0799
BX = 110 Event : 95
0x00 0101000|0100001 0x1421
BX = 111 Event : 96
0x00 0000001|0000001 0x0081
0x01 0000001|0000010 0x0082
0x02 0001101|0001111 0x068F
BX = 000 Event : 97
0x00 0001101|0010001 0x0691
0x01 0011110|0110100 0x0F34
BX = 001 Event : 98
BX = 010 Event : 99
BX = 011 Event : 100
