BX = 000 Event : 1
BX = 010 Event : 43
0x00 0000100|0000011 0x0203
0x01 0010001|0100101 0x08A5
0x02 0010010|0100101 0x0925
0x03 0010010|0100111 0x0927
0x04 0010011|0100101 0x09A5
0x05 0010011|0100111 0x09A7
0x06 0110000|0000001 0x1801
0x07 0110100|0000001 0x1A01
0x08 0110110|0000011 0x1B03
0x09 0110111|0000011 0x1B83
0x0a 0111000|0000011 0x1C03
0x0b 1000111|0000001 0x2381
BX = 011 Event : 44
0x00 0000110|0001010 0x030A
0x01 0001010|0001010 0x050A
0x02 0001011|0001010 0x058A
0x03 0110100|0001010 0x1A0A
0x04 0110111|0101101 0x1BAD
0x05 0111000|0101101 0x1C2D
BX = 100 Event : 45
0x00 0000110|0000010 0x0302
0x01 0000110|0000011 0x0303
0x02 0000110|0000100 0x0304
0x03 0000110|0000101 0x0305
0x04 0000110|0000111 0x0307
0x05 0010001|0010111 0x0897
0x06 0010001|0011111 0x089F
0x07 0010010|0010111 0x0917
0x08 0010010|0011111 0x091F
0x09 0010101|0011111 0x0A9F
0x0a 0010111|0101010 0x0BAA
0x0b 0100010|0011111 0x111F
0x0c 0100010|0101010 0x112A
0x0d 1000011|1010011 0x21D3
0x0e 1001001|0000010 0x2482
0x0f 1001001|0000011 0x2483
0x10 1001001|0000100 0x2484
0x11 1001001|0000101 0x2485
0x12 1001001|0000111 0x2487
0x13 1001001|0001001 0x2489
0x14 1001011|0000010 0x2582
0x15 1001011|0000011 0x2583
0x16 1001011|0000100 0x2584
0x17 1001011|0000101 0x2585
0x18 1001011|0000111 0x2587
0x19 1001011|0001001 0x2589
0x1a 1001111|0000010 0x2782
0x1b 1001111|0000011 0x2783
0x1c 1001111|0000100 0x2784
0x1d 1001111|0000101 0x2785
0x1e 1001111|0000111 0x2787
0x1f 1001111|0001001 0x2789
0x20 1001111|0010001 0x2791
0x21 1010011|0000010 0x2982
0x22 1010011|0000011 0x2983
0x23 1010011|0000100 0x2984
0x24 1010011|0000101 0x2985
0x25 1010011|0000111 0x2987
0x26 1010011|0001001 0x2989
0x27 1010011|0010001 0x2991
0x28 1010111|1010011 0x2BD3
0x29 1011000|1010011 0x2C53
BX = 101 Event : 46
0x00 0100011|0111110 0x11BE
0x01 0100110|0001100 0x130C
BX = 110 Event : 47
0x00 0110000|0000010 0x1802
0x01 0110001|0000010 0x1882
0x02 0110101|0100111 0x1AA7
0x03 0110110|0100111 0x1B27
0x04 0110111|0100111 0x1BA7
BX = 111 Event : 48
0x00 0001010|0010001 0x0511
0x01 0110010|0000001 0x1901
0x02 0110100|0000111 0x1A07
0x03 0110110|0000011 0x1B03
0x04 0110110|0000111 0x1B07
BX = 000 Event : 49
0x00 0001000|0010111 0x0417
0x01 0001111|0010111 0x0797
0x02 0101001|0000010 0x1482
0x03 0110010|0111011 0x193B
0x04 0110010|0111110 0x193E
BX = 001 Event : 50
0x00 0000011|0001011 0x018B
BX = 010 Event : 51
0x00 0000110|0001010 0x030A
0x01 0001011|0011000 0x0598
0x02 0110011|0000101 0x1985
0x03 0110110|0001010 0x1B0A
0x04 0111111|0100100 0x1FA4
0x05 0111111|0100101 0x1FA5
BX = 011 Event : 52
0x00 0001110|0010100 0x0714
0x01 0001110|0010101 0x0715
BX = 100 Event : 53
0x00 0001001|0001101 0x048D
0x01 0001001|0010001 0x0491
0x02 0001001|0010011 0x0493
0x03 0101010|0001101 0x150D
0x04 0101010|0010001 0x1511
0x05 0101011|0001101 0x158D
0x06 0101011|0010001 0x1591
0x07 0101100|0101100 0x162C
BX = 101 Event : 54
0x00 0100101|0000010 0x1282
0x01 0100110|0000010 0x1302
BX = 110 Event : 55
BX = 111 Event : 56
0x00 0101100|0100100 0x1624
BX = 000 Event : 57
0x00 0001001|0011111 0x049F
