BX = 000 Event : 1
0x01 0001111|0010011 0x0793
0x02 0101010|0011110 0x151E
BX = 111 Event : 48
0x00 0000100|0000110 0x0206
0x01 0000100|0001011 0x020B
0x02 0001000|0010100 0x0414
0x03 0010000|0000110 0x0806
0x04 0010000|0001011 0x080B
0x05 0010001|0001011 0x088B
0x06 0010010|0000110 0x0906
0x07 0010010|0001011 0x090B
0x08 0011001|0010100 0x0C94
BX = 000 Event : 49
BX = 001 Event : 50
BX = 010 Event : 51
0x00 0000010|0001000 0x0108
0x01 0000010|0001011 0x010B
0x02 0000011|0001000 0x0188
0x03 0000011|0001011 0x018B
0x04 0000100|0001000 0x0208
0x05 0000100|0001011 0x020B
0x06 0001010|0010010 0x0512
0x07 0010100|0010010 0x0A12
0x08 0010110|0010111 0x0B17
0x09 0010111|0010111 0x0B97
0x0a 0101110|0101011 0x172B
0x0b 0110100|0000100 0x1A04
0x0c 0110100|0001011 0x1A0B
0x0d 0110111|0010010 0x1B92
BX = 011 Event : 52
0x00 0000011|0000000 0x0180
BX = 100 Event : 53
0x00 0000001|0000000 0x0080
0x01 0000010|0000000 0x0100
0x02 0100000|0110001 0x1031
0x03 0100001|0110001 0x10B1
0x04 0100010|0110001 0x1131
0x05 0101001|0000000 0x1480
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0000000|0000011 0x0003
0x01 0000110|0100011 0x0323
0x02 0000111|0100011 0x03A3
0x03 0010111|0100011 0x0BA3
0x04 0011000|0100011 0x0C23
0x05 0101000|0000010 0x1402
0x06 0101000|0000011 0x1403
0x07 0101010|0000011 0x1503
0x08 0101011|0000010 0x1582
0x09 0101011|0000011 0x1583
0x0a 0101100|0000011 0x1603
0x0b 0101111|0000011 0x1783
0x0c 0110000|0000011 0x1803
BX = 111 Event : 56
0x00 0000100|0000011 0x0203
0x01 0000101|0000011 0x0283
0x02 0000101|0000100 0x0284
0x03 0001000|0000110 0x0406
0x04 0110100|0000011 0x1A03
0x05 0110100|0000100 0x1A04
0x06 0110100|0000110 0x1A06
0x07 0110101|0000110 0x1A86
BX = 000 Event : 57
0x00 0010011|0011010 0x099A
0x01 0110101|0000110 0x1A86
0x02 0110110|0000110 0x1B06
BX = 001 Event : 58
0x00 0000111|0001011 0x038B
0x01 0000111|0010000 0x0390
0x02 0000111|0010001 0x0391
0x03 0000111|0010010 0x0392
0x04 0001000|0010000 0x0410
0x05 0001000|0010001 0x0411
0x06 0001001|0010000 0x0490
0x07 0001001|0010001 0x0491
0x08 0001001|0010011 0x0493
0x09 0001001|0010110 0x0496
0x0a 0101101|0111110 0x16BE
0x0b 0101111|0001000 0x1788
0x0c 0110000|0000010 0x1802
0x0d 0110000|0000011 0x1803
0x0e 0110000|0000100 0x1804
0x0f 0110010|0001000 0x1908
BX = 010 Event : 59
0x00 0000000|0000001 0x0001
0x01 0000000|0000101 0x0005
0x02 0100100|0110001 0x1231
0x03 0100100|0110010 0x1232
0x04 0100111|0000001 0x1381
0x05 0100111|0000101 0x1385
0x06 0101000|0000001 0x1401
0x07 0101000|0000101 0x1405
BX = 011 Event : 60
0x00 0001111|0010100 0x0794
0x01 0010001|0010100 0x0894
0x02 0011000|0010100 0x0C14
0x03 0111000|0111110 0x1C3E
0x04 0111000|1000101 0x1C45
0x05 1001010|0111110 0x253E
0x06 1001010|1000101 0x2545
BX = 100 Event : 61
0x00 0100010|0010001 0x1111
0x01 0101011|0000110 0x1586
BX = 101 Event : 62
0x00 0001101|0011001 0x0699
0x01 0001101|0011010 0x069A
0x02 0010011|0011100 0x099C
0x03 0101110|0111100 0x173C
0x04 0101111|0111100 0x17BC
0x05 0110010|0111100 0x193C
BX = 110 Event : 63
0x00 0000001|0000100 0x0084
0x01 0001110|0010000 0x0710
0x02 0001110|0010101 0x0715
0x03 0001110|0010111 0x0717
0x04 1000111|0000100 0x2384
BX = 111 Event : 64
0x00 0000000|0000001 0x0001
0x01 0110111|0000001 0x1B81
BX = 000 Event : 65
0x00 0001010|0010110 0x0516
0x01 0001010|0010111 0x0517
0x02 0001100|0010110 0x0616
0x03 0001100|0010111 0x0617
0x04 0010101|0010110 0x0A96
0x05 0010101|0010111 0x0A97
0x06 0100000|0011110 0x101E
0x07 0100000|0100000 0x1020
0x08 0111000|0110100 0x1C34
BX = 001 Event : 66
0x00 0101011|0111011 0x15BB
0x01 0101011|0000000 0x1580
0x02 0101110|0000111 0x1707
0x03 0110111|0111011 0x1BBB
0x04 0110111|0000000 0x1B80
BX = 010 Event : 67
0x00 0001101|0001111 0x068F
0x01 0011001|0001111 0x0C8F
0x02 0011010|0001111 0x0D0F
0x03 1010111|0101011 0x2BAB
0x04 1011001|0101011 0x2CAB
BX = 011 Event : 68
0x00 0001100|0000110 0x0606
0x01 0111000|0100010 0x1C22
BX = 100 Event : 69
0x00 0000001|0000001 0x0081
0x01 0010001|0010000 0x0890
0x02 0010111|0100110 0x0BA6
0x03 0010111|0100111 0x0BA7
BX = 101 Event : 70
0x00 0000110|0010111 0x0317
0x01 0001011|0001010 0x058A
0x02 0010001|0010111 0x0897
0x03 0010100|0010111 0x0A17
0x04 0100100|0101100 0x122C
BX = 110 Event : 71
0x00 0010110|0010111 0x0B17
0x01 0101111|0111010 0x17BA
0x02 0110000|0111010 0x183A
0x03 0110001|0111010 0x18BA
0x04 0110010|0111010 0x193A
0x05 0110110|0000100 0x1B04
0x06 1000000|0111010 0x203A
BX = 111 Event : 72
0x00 0001110|0100010 0x0722
0x01 0010000|0100010 0x0822
0x02 0101000|0110011 0x1433
0x03 0101000|0110100 0x1434
0x04 0101000|0110101 0x1435
0x05 0101000|0110110 0x1436
0x06 0101010|1000101 0x1545
0x07 0110101|0110011 0x1AB3
0x08 0110101|0110100 0x1AB4
0x09 0110101|0110101 0x1AB5
0x0a 0110101|0110110 0x1AB6
BX = 000 Event : 73
0x00 0111011|1000100 0x1DC4
BX = 001 Event : 74
0x00 0000010|0000101 0x0105
0x01 0000101|0010101 0x0295
0x02 0001011|0101010 0x05AA
0x03 0001100|0101010 0x062A
0x04 0010111|0101010 0x0BAA
0x05 0011001|0101010 0x0CAA
0x06 0011010|0101010 0x0D2A
0x07 0011011|0101010 0x0DAA
0x08 0011110|0101111 0x0F2F
